dateObserved,intensity,laneId,location,id,type,vehicleType,reversedLane,name
2020-01-01,542,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001010000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-02,598,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001020000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-03,731,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001030000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-04,793,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001040000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-05,943,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001050000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-06,1141,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001060000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-07,1284,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001070000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-08,1293,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001080000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-09,1341,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001090000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-10,1047,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001100000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-11,904,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001110000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-12,982,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001120000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-13,1123,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001130000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-14,1190,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001140000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-15,1067,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001150000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-16,1144,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001160000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-17,904,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001170000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-18,883,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001180000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-19,513,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001190000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-20,936,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001200000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-21,689,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001210000,TrafficFlowObserved,bicycle,False,Berracasa
2020-01-22,649,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202001220000,TrafficFlowObserved,bicycle,False,Berracasa
